instance,bestsol,commit,time,optimal,score
L_abs3n200_4_L,38701.32,v7.2,1009.338,False,10
L_abs3n200_5_H,114858.02,v9.2,666.032,False,10
L_abs3n200_5_L,40537.53,v5,1580.477,False,10
L_abs3n50_2_H,27514.93,v9.1,1573.539,False,-0.33364677995178
L_abs3n50_2_L,11371.41,v9.2,1409.326,False,2.5630364274608
L_abs3n50_3_H,29113.74,v9.2,1071.652,False,1.4289506744455
L_abs3n50_3_L,13048.51,v7,528.162,False,6.3968525766471
L_abs3n50_4_H,31616.59,v7.2,1596.492,False,4.8597904567962
L_abs3n50_4_L,15915,v9.1-3-g272080f,256.851,False,10
L_abs3n50_5_H,33720.97,v9,1572.211,False,6.5409927742514
L_abs3n50_5_L,17065.1,v9.1,1385.922,False,10
L_abs4n100_2_H,48776.64,v9.2,1305.534,False,3.2799464719782
L_abs4n100_2_L,16515.48,v5,1332.281,False,7.6695101717512
L_abs4n100_3_H,53268.7,v9,538.309,False,10
L_abs4n100_3_L,21017.47,v9.1,1549.315,False,10
L_abs4n100_4_H,56485.48,v9,1599.571,False,10
L_abs4n100_4_L,25575.27,v5,1510.438,False,10
L_abs4n100_5_H,60308.63,v6,1265.629,False,10
L_abs4n100_5_L,29159.67,v9,1014.907,False,10
L_abs4n200_2_H,104973.36,v7.2,1187.393,False,7.8049873589681
L_abs4n200_2_L,30390.37,v9.2,1441.328,False,10
L_abs4n200_3_H,109766.81,v7.2,218.099,False,10
L_abs4n200_3_L,33340.37,v4.2,645.691,False,10
L_abs4n200_4_H,111813.9,v9.2,1469.434,False,10
L_abs4n200_4_L,38265,v4.2,1200.188,False,10
L_abs4n200_5_H,116263.94,v3,907.579,False,10
L_abs4n200_5_L,46249.08,v9.2,790.224,False,10
L_abs4n50_2_H,29394.52,v9.2,768.539,False,1.0704461682346
L_abs4n50_2_L,11430.12,v5,1195.421,False,4.6053317958433
L_abs4n50_3_H,32108.6,v9.2,1387.422,False,2.1617815551604
L_abs4n50_3_L,13756.42,v9.2,901.315,False,6.28151224796
L_abs4n50_4_H,33726.28,v9.1,1548.207,False,1.0074303906271
L_abs4n50_4_L,16453.37,v5,1088.908,False,7.0348126916637
L_abs4n50_5_H,37622.7,v5,1516.942,False,4.7775933517512
L_abs4n50_5_L,19691.73,v9.2,489.788,False,10
L_abs5n100_2_H,53220.48,v3,1463.116,False,1.7646698892492
L_abs5n100_2_L,16236.49,v5,413.175,False,3.5230305650238
L_abs5n100_3_H,57489.53,v2,1596.54,False,7.9665464357602
L_abs5n100_3_L,22467.27,v1,1579.339,False,10
L_abs5n100_4_H,61249.99,v6,1377.221,False,10
L_abs5n100_4_L,26238.23,v4.2,722.281,False,10
L_abs5n100_5_H,66918.25,v4.1,326.171,False,10
L_abs5n100_5_L,29092.01,v4.1,740.787,False,10
L_abs5n200_2_H,104200.17,v9.2,1248.645,False,5.9265610926886
L_abs5n200_2_L,30273.61,v1,1480.671,False,10
L_abs5n200_3_H,107861.51,v4.1,640.108,False,8.2749035818756
L_abs5n200_3_L,34371.32,v4.2,617.985,False,10
L_abs5n200_4_H,110799.58,v9.2,270.828,False,9.3191796689234
L_abs5n200_4_L,42105.1,v9,1576.961,False,10
L_abs5n200_5_H,118516.2,v9,1593.23,False,10
L_abs5n200_5_L,46773.69,v7.2,677.558,False,10
L_abs5n50_2_H,27357.59,v2,731.316,False,0.64146190186445
L_abs5n50_2_L,10863.61,v9.1,393.423,False,1.5953397636963
L_abs5n50_3_H,30105.05,v6,1300.53,False,4.553931749196
L_abs5n50_3_L,13667.21,v6,1515.97,False,8.0915145470895
L_abs5n50_4_H,32647.25,v5,911.52,False,5.8611484097279
L_abs5n50_4_L,16689.58,v9,547.8,False,10
L_abs5n50_5_H,34934.74,v5,895.005,False,6.0733880884786
L_abs5n50_5_L,20077.43,v9,406.25,False,10
L_abs6n100_2_H,52717.05,v1,334.85,False,4.6486698731342
L_abs6n100_2_L,17338.76,v1,591.84,False,7.3218679301924
L_abs6n100_3_H,55539.92,v9.2,1028.412,False,7.4553703578304
L_abs6n100_3_L,21579.51,v0,1231.447,False,10
L_abs6n100_4_H,60048.95,v9.2,1514.389,False,9.9629049539475
L_abs6n100_4_L,27707.22,v5,411.54,False,10
L_abs6n100_5_H,64354.22,v9,1587.824,False,10
L_abs6n100_5_L,30979.16,v9,1591.319,False,10
L_abs6n200_2_H,104650.35,v7.2,445.643,False,6.1202211836143
L_abs6n200_2_L,30142.59,v4.2,308.159,False,10
L_abs6n200_3_H,107785.61,v7.2,314.347,False,8.6144468438655
L_abs6n200_3_L,33968.97,v4.2,711.562,False,10
L_abs6n200_4_H,112062.07,v4.2,913.288,False,10
L_abs6n200_4_L,35321.73,v7.2,361.338,False,10
L_abs6n200_5_H,115046.24,v7.2,999.614,False,10
L_abs6n200_5_L,45392.83,v7.2,520.628,False,10
L_abs6n50_2_H,29903.94,v9.2,541.661,False,0.075331066819762
L_abs6n50_2_L,11479.68,v6,1451.827,False,1.8778709416334
L_abs6n50_3_H,33245.26,v7.2,1086.273,False,4.2086878239942
L_abs6n50_3_L,14538.31,v9.2,1338.186,False,7.902193919962
L_abs6n50_4_H,35802.12,v6,558.827,False,4.9866281933986
L_abs6n50_4_L,16917.03,v9.2,1557.038,False,10
L_abs6n50_5_H,38038.6,v2,1565.063,False,5.1317747057017
L_abs6n50_5_L,19496.59,v9,950.478,False,8.7911358218683
L_abs7n100_2_H,51187.41,v9.2,516.957,False,0.50431410924994
L_abs7n100_2_L,17329.25,v9.2,938.843,False,9.180093207167
L_abs7n100_3_H,54896.76,v4.2,1177.416,False,5.4083229486887
L_abs7n100_3_L,21952.91,v5,679.628,False,10
L_abs7n100_4_H,60538.39,v9,1405.398,False,10
L_abs7n100_4_L,25979.46,v4.2,484.33,False,10
L_abs7n100_5_H,63865.04,v9,1584.581,False,10
L_abs7n100_5_L,31230.4,v9,1589.781,False,10
L_abs7n200_2_H,94410.7,v9.2,1283.502,False,7.1193382953617
L_abs7n200_2_L,30055.86,v4.2,614.887,False,10
L_abs7n200_3_H,99144.12,v3,354.849,False,10
L_abs7n200_3_L,34931.85,v4.2,226.823,False,10
L_abs7n200_4_H,104764.07,v0,275.303,False,10
L_abs7n200_4_L,37816.02,v7.2,944.569,False,10
L_abs7n200_5_H,106317.4,v4.1,417.093,False,10
L_abs7n200_5_L,43548.27,v9,1590.201,False,10
L_abs7n50_2_H,28299.26,v9.2,793.945,False,0.023433664526751
L_abs7n50_2_L,11439.8,v6,217.258,False,0.81046332206245
L_abs7n50_3_H,31629.01,v5,942.032,False,4.9688352608091
L_abs7n50_3_L,14236.78,v0,1442.852,False,6.7176888595715
L_abs7n50_4_H,33767.99,v9,359.341,False,3.9674070333811
L_abs7n50_4_L,17085.48,v7.2,1518.425,False,10
L_abs7n50_5_H,36736.77,v9,584.136,False,4.9295519194171
L_abs7n50_5_L,19603.53,v9,337.306,False,8.8045312257176
L_abs8n100_2_H,51057.66,v7.2,1511.51,False,0.78265085126357
L_abs8n100_2_L,18032.39,v9.2,1546.219,False,10
L_abs8n100_3_H,55026.76,v7.2,1418.566,False,5.9595400588387
L_abs8n100_3_L,20221.32,v6,1307.065,False,10
L_abs8n100_4_H,59520.95,v6,1598.751,False,9.4393419329121
L_abs8n100_4_L,25623.7,v3,962.052,False,10
L_abs8n100_5_H,64794.4,v9.2,685.215,False,10
L_abs8n100_5_L,30347.4,v4.2,1124.969,False,10
L_abs8n200_2_H,96346.2,v0,310.342,False,4.9193488493046
L_abs8n200_2_L,30418.16,v7.2,94.555,False,10
L_abs8n200_3_H,103315.93,v5,531.407,False,10
L_abs8n200_3_L,34831.62,v7.2,432.207,False,10
L_abs8n200_4_H,104984.77,v7.2,789.165,False,10
L_abs8n200_4_L,37977.77,v9,1552.121,False,10
L_abs8n200_5_H,108251.21,v6,1329.512,False,10
L_abs8n200_5_L,43864.15,v4.1,507.294,False,10
L_abs8n50_2_H,25809.28,v9.2,1144.17,False,0.64420326250736
L_abs8n50_2_L,12190.82,v9,1566.405,False,-1.2423668481827
L_abs8n50_3_H,28613.92,v4,1185.448,False,2.9449519632054
L_abs8n50_3_L,15890.35,v1,1131.477,False,8.7765474988448
L_abs8n50_4_H,32191.45,v5,161.947,False,6.2287011808047
L_abs8n50_4_L,19144.15,v2,1472.575,False,10
L_abs8n50_5_H,36336.76,v9.2,539.082,False,10
L_abs8n50_5_L,22472.52,v9.2,433.43,False,10
L_abs9n100_2_H,54786.13,v9.2,1488.573,False,2.3959427484197
L_abs9n100_2_L,19053.13,v5,1229.517,False,10
L_abs9n100_3_H,56752.19,v6,1412.27,False,2.8424930595322
L_abs9n100_3_L,20801.62,v6,1052.532,False,10
L_abs9n100_4_H,63001.06,v4.2,1535.221,False,9.6864760591531
L_abs9n100_4_L,25129.58,v4.2,551.819,False,10
L_abs9n100_5_H,66351.69,v9,1533.503,False,10
L_abs9n100_5_L,31363.43,v4.2,614.595,False,10
L_abs9n200_2_H,100860.18,v9.2,1595.044,False,6.6512354327636
L_abs9n200_2_L,29409.59,v4.2,1533.677,False,10
L_abs9n200_3_H,104351.39,v7.2,212.476,False,9.0434192885678
L_abs9n200_3_L,35483.22,v4.2,276.202,False,10
L_abs9n200_4_H,106944,v4.2,1063.029,False,9.8245891487834
L_abs9n200_4_L,39009.07,v7.2,1013.936,False,10
L_abs9n200_5_H,114904.92,v9,1538.999,False,10
L_abs9n200_5_L,44101.44,v9,506.157,False,10
L_abs9n50_2_H,28318.54,v4,1200.992,False,-0.56887926360999
L_abs9n50_2_L,11070.78,v5,1044.942,False,0.82016479793676
L_abs9n50_3_H,31054.32,v6,1088.352,False,4.2386501411809
L_abs9n50_3_L,13191.87,v5,1348.525,False,3.890252632524
L_abs9n50_4_H,33429.27,v7.2,1411.807,False,5.0997274515605
L_abs9n50_4_L,16084.2,v9,1149.134,False,10
L_abs9n50_5_H,36376.41,v6,347.867,False,8.3311866473252
L_abs9n50_5_L,18236.61,v9,631.413,False,10
S_abs1n10_2_H3,4248.38,v9,5.758,False,0
